listing_id,product,price,original_price,condition,seller,time_posted,likes,listing_url,source_url,category,buyer_protection,delivery_info
1436662162,Gigabyte Eagle RTX 3070 8GB 3 Fan,RM999,,Lightly used,houseofgamers,,6,https://www.carousell.com.my/p/gigabyte-eagle-rtx-3070-8gb-3-fan-1436662162/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1435362877,Biostar AMD Rx5700xt 8GB,RM573,,Lightly used,jiaojiao,,13,https://www.carousell.com.my/p/biostar-amd-rx5700xt-8gb-1435362877/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1433810804,AMD AM5 Motherboard B650 Asrock Steel Legend,RM750,,Lightly used,icehart,,5,https://www.carousell.com.my/p/amd-am5-motherboard-b650-asrock-steel-legend-1433810804/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437062824,HARD DISK 3TB WD NAS,RM165,,Like new,twinglobeenterprise,,5,https://www.carousell.com.my/p/hard-disk-3tb-wd-nas-1437062824/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1424705801,Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Memory (Desktop Memory) Model KF552C40BBAK2-32,"RM1,199",,Like new,t4technology,,32,https://www.carousell.com.my/p/kingston-fury-beast-32gb-2-x-16gb-288-pin-pc-ram-ddr5-5200-pc5-41600-memory-desktop-memory-model-kf552c40bbak2-32-1424705801/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437410891,RTX5060 + PSU Bundle,"RM1,200",,Like new,meowedd0919,,,https://www.carousell.com.my/p/rtx5060-psu-bundle-1437410891/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437410716,Gigabyte B760M DS3H WIFI6E GEN5,RM350,,Brand new,muhammadaqeef3,,,https://www.carousell.com.my/p/gigabyte-b760m-ds3h-wifi6e-gen5-1437410716/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437410355,Corsair Vengeance RGB Pro RAM 1 x 8gb (32GB) 3200mhz,RM900,,Lightly used,azrizainal35312,,,https://www.carousell.com.my/p/corsair-vengeance-rgb-pro-ram-1-x-8gb-32gb-3200mhz-1437410355/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1435448920,[ New and Sealed ] ASUS Dual GeForce RTX 5060 8GB GDDR7 OC Edition GPU Graphics Card PC Desktop,"RM1,219",,Brand new,itvisionx,,16,https://www.carousell.com.my/p/new-and-sealed-asus-dual-geforce-rtx-5060-8gb-gddr7-oc-edition-gpu-graphics-card-pc-desktop-1435448920/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437017825,ASUS TUF Gaming GeForce RTX 5090 Graphics Card,"RM1,050",,Brand new,royalstone.bb7046,,1,https://www.carousell.com.my/p/asus-tuf-gaming-geforce-rtx-5090-graphics-card-1437017825/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
