listing_id,product,price,condition,seller,time_posted,likes,listing_url,source_url,category
1437289942,Intel Pentium G6400 CPU,,,tinyexil3,,1,https://www.carousell.com.my/p/intel-pentium-g6400-cpu-1437289942/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1434134908,ASUS TUF Gaming Radeon RX 6900 XT TOP Edition OC Unlocked (Under ASUS Warranty),,,gh0stlike485397,,27,https://www.carousell.com.my/p/asus-tuf-gaming-radeon-rx-6900-xt-top-edition-oc-unlocked-under-asus-warranty-1434134908/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436699312,Colorful GeForce RTX 5070 battle ax,,,rockdidi3886910,,13,https://www.carousell.com.my/p/colorful-geforce-rtx-5070-battle-ax-1436699312/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437018105,NVIDIA GeForce RTX 4080,,,royalstone.bb7046,,2,https://www.carousell.com.my/p/nvidia-geforce-rtx-4080-1437018105/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1425898429,Corsair Vengeance DDR5 32GB (2x16)  5600MHz RAM White,,,sellonline26,,13,https://www.carousell.com.my/p/corsair-vengeance-ddr5-32gb-2x16-5600mhz-ram-white-1425898429/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436356010,ZOTAC RTX 3050 8GBTwin Edge OC,,,vincentlau23279,,5,https://www.carousell.com.my/p/zotac-rtx-3050-8gbtwin-edge-oc-1436356010/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1434127382,GIGABYTE AMD Radeon™ RX 9060 XT GAMING OC 8G,,,nanonana5555,,19,https://www.carousell.com.my/p/gigabyte-amd-radeon™-rx-9060-xt-gaming-oc-8g-1434127382/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1377814721,Leadtek Professional Quadro RTX A1000 8GB / RTX A2000 12GB Workstation,,,fantasytech,,6,https://www.carousell.com.my/p/leadtek-professional-quadro-rtx-a1000-8gb-rtx-a2000-12gb-workstation-1377814721/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1420318809,Samsung Portable SSD T7 Shield 2TB – Brand New Sealed,,,barangwarehousemurah,,17,https://www.carousell.com.my/p/samsung-portable-ssd-t7-shield-2tb-–-brand-new-sealed-1420318809/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1400050147,NVIDIA Quadro Graphics Card,,,mohammadalam13,,9,https://www.carousell.com.my/p/nvidia-quadro-graphics-card-1400050147/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436732706,ASUS ROG Strix X870-A Gaming WiFi Motherboard,,,attila1717,,9,https://www.carousell.com.my/p/asus-rog-strix-x870-a-gaming-wifi-motherboard-1436732706/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1428284649,Nvidia Quadro P400 Graphics Card,,,kamran321,,4,https://www.carousell.com.my/p/nvidia-quadro-p400-graphics-card-1428284649/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1429851155,New NVIDIA TESLA A2 16GB Professional Computing Graphics Card Deep Learning GPU,,,zealwind-5d2287,,3,https://www.carousell.com.my/p/new-nvidia-tesla-a2-16gb-professional-computing-graphics-card-deep-learning-gpu-1429851155/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436860004,Zotac trinity RTX 3080,,,reensparx,,9,https://www.carousell.com.my/p/zotac-trinity-rtx-3080-1436860004/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
